mapping, replan, sfc, mpc, 
2.13902, 0.398864, 0.451697, 3.27106, 
0, 0.000142, 0.464978, 2.4518, 
0, 0.000175, 0.375544, 2.18697, 
0, 8.4e-05, 0.689873, 2.02403, 
0, 0.000104, 0.45234, 2.18327, 
1.63729, 0.236486, 0.359697, 1.9113, 
0, 6.1e-05, 0.281431, 1.76571, 
0, 0.000224, 0.313322, 2.03467, 
0, 0.000152, 0.693331, 1.98273, 
1.14018, 0.136569, 0.292539, 2.31778, 
0, 0.000194, 0.282583, 2.3316, 
0, 0.000241, 0.397158, 2.37135, 
0, 0.000174, 0.459286, 3.01159, 
0, 0.000193, 0.490285, 3.98817, 
2.28692, 0.344152, 0.364789, 2.55804, 
0, 7.5e-05, 0.3777, 2.69068, 
0, 0.000182, 0.325241, 3.02338, 
0, 0.00013, 0.315149, 2.51262, 
0, 0.00018, 0.267134, 2.38951, 
1.48917, 0.255353, 0.237132, 2.52807, 
0, 0.000164, 0.38454, 2.49586, 
0, 0.00023, 0.32656, 2.43616, 
0, 0.000581, 0.407415, 2.54533, 
0, 5.8e-05, 0.258876, 2.36796, 
1.10384, 3.7e-05, 0.312122, 2.21193, 
0, 4.9e-05, 0.374166, 3.1844, 
0, 0.000144, 0.299709, 2.64635, 
0, 0.000292, 0.362888, 2.91123, 
0, 0.000126, 0.375778, 2.88871, 
1.26205, 5.7e-05, 0.24319, 3.36595, 
0, 0.000228, 0.277577, 3.24668, 
0, 5.1e-05, 0.25751, 3.87211, 
0, 0.000152, 0.335639, 3.21637, 
0, 4.5e-05, 0.295469, 2.86272, 
1.30338, 0.000216, 0.412526, 3.64397, 
0, 0.000166, 0.314155, 2.75104, 
0, 3.6e-05, 0.33266, 3.31933, 
0, 0.000158, 0.441571, 3.09205, 
0, 0.000299, 0.300815, 2.7304, 
1.68798, 5.7e-05, 0.400969, 5.99774, 
0, 0.00029, 0.448317, 3.03374, 
0, 0.000208, 0.441693, 3.20545, 
0, 0.000219, 0.409059, 3.70657, 
0, 0.00015, 0.340711, 3.32647, 
1.36634, 0.000172, 0.352099, 3.20507, 
0, 0.000113, 0.454484, 2.66506, 
0, 0.000217, 0.333624, 5.40471, 
0, 0.000175, 0.347959, 2.83733, 
0, 8.8e-05, 0.349561, 3.36541, 
2.07293, 0.00013, 0.362582, 3.82128, 
0, 0.000165, 0.475628, 3.09355, 
0, 0.000219, 0.268953, 2.79475, 
0, 0.000146, 0.288212, 2.58956, 
0, 0.00014, 0.265178, 2.59934, 
2.24858, 0.000188, 0.267144, 3.71129, 
0, 7.1e-05, 0.268893, 3.06806, 
0, 0.000155, 0.294097, 3.90179, 
0, 0.000414, 0.460368, 4.31991, 
0, 0.00017, 0.2471, 2.36286, 
2.10411, 6.8e-05, 0.253869, 3.56562, 
0, 0.000164, 0.258241, 2.93718, 
0, 0.000142, 0.227792, 2.75733, 
0, 0.000586, 0.303878, 2.94472, 
0, 0.000297, 1.95607, 4.45525, 
1.73239, 0.000152, 0.264613, 4.72645, 
0, 0.000186, 0.335297, 4.72995, 
0, 0.000238, 0.259094, 3.78861, 
0, 0.000129, 0.336163, 3.53552, 
0, 0.000192, 0.275137, 3.82132, 
1.09662, 0.000282, 0.391166, 2.55351, 
0, 4.6e-05, 0.278312, 1.89744, 
0, 0.000199, 0.296081, 1.70195, 
0, 5.8e-05, 0.285221, 3.78453, 
0, 0.000423, 0.423474, 2.90861, 
1.67641, 0.000374, 0.312702, 2.13934, 
0, 0.000144, 0.267206, 3.72487, 
0, 0.000215, 0.314652, 3.51634, 
0, 6.1e-05, 0.353543, 3.95269, 
0, 0.000162, 0.288522, 2.4007, 
1.37316, 0.000176, 0.297307, 3.23588, 
0, 0.000222, 0.331047, 2.12554, 
0, 6.3e-05, 0.268445, 1.95535, 
0, 0.000216, 0.275207, 4.20834, 
0, 3.6e-05, 0.28482, 2.41688, 
1.35278, 3.7e-05, 0.275349, 3.13578, 
0, 0.00014, 0.258621, 1.9578, 
0, 0.000277, 0.312126, 3.1793, 
0, 4.4e-05, 0.265681, 2.47512, 
0, 0.000145, 0.290378, 1.86339, 
1.74337, 0.00015, 0.28049, 1.75036, 
0, 6.6e-05, 0.306624, 1.86817, 
0, 0.000251, 0.282191, 2.22906, 
0, 0.000164, 0.279783, 1.84379, 
0, 6.4e-05, 0.227537, 1.76826, 
0, 0.000205, 0.268654, 1.76131, 
1.81164, 0.000192, 0.263464, 1.88435, 
0, 0.000267, 0.240455, 1.58337, 
0, 0.000163, 0.246666, 1.79204, 
0, 0.000285, 0.298367, 1.89575, 
1.30883, 0.230683, 0.387591, 1.92873, 
0, 0.000148, 0.261404, 1.83002, 
0, 0.000114, 0.324968, 1.84364, 
0, 0.00017, 0.334279, 2.1446, 
0, 0.000164, 0.294629, 2.08868, 
1.23699, 0.000197, 0.352782, 3.51303, 
0, 0.000156, 0.277551, 1.87479, 
0, 0.000153, 0.251042, 1.92564, 
0, 0.000163, 0.324957, 2.11778, 
0, 0.000189, 0.388225, 2.27666, 
1.88306, 0.000156, 0.303528, 2.12274, 
0, 0.000166, 0.348757, 2.04119, 
0, 0.000205, 0.391064, 2.34756, 
0, 0.000218, 0.304642, 1.83127, 
0, 0.000125, 0.345179, 1.94771, 
1.3733, 0.00014, 0.285974, 1.85819, 
0, 0.000189, 0.263229, 1.82281, 
0, 0.000288, 0.256598, 1.7514, 
0, 6.1e-05, 0.343191, 2.1042, 
0, 4.7e-05, 0.308346, 1.89558, 
1.17838, 0.000151, 0.266377, 2.2098, 
0, 0.000183, 0.293581, 2.03327, 
0, 0.000146, 0.273318, 1.84958, 
0, 0.000144, 0.248121, 1.70743, 
0, 0.000168, 0.254393, 1.7717, 
1.00441, 4.4e-05, 0.279784, 1.89984, 
0, 0.000168, 0.365099, 2.01931, 
0, 0.000164, 0.249663, 1.83325, 
0, 0.000264, 0.270089, 1.85952, 
0, 0.000184, 0.246998, 2.27652, 
1.43009, 0.000216, 0.294604, 1.92415, 
0, 0.000154, 0.255241, 1.77604, 
0, 0.000151, 0.278097, 1.89306, 
0, 0.000152, 0.248819, 1.86439, 
0, 5.8e-05, 0.313762, 2.08741, 
1.43661, 0.000205, 0.309272, 2.17415, 
0, 0.000152, 0.32322, 2.06367, 
0, 0.000214, 0.276626, 1.87646, 
0, 0.000285, 0.255831, 1.91729, 
0, 0.000335, 0.387306, 2.34339, 
0, 7.3e-05, 0.258287, 1.9205, 
0, 0.00023, 0.356621, 2.27619, 
1.21773, 5.2e-05, 0.26093, 1.83486, 
0, 6.3e-05, 0.279431, 2.08414, 
0, 6.2e-05, 0.266257, 1.8912, 
1.37433, 5.8e-05, 0.28763, 1.91337, 
0, 5.3e-05, 0.263527, 2.12706, 
0, 0.000183, 0.321913, 3.11398, 
0, 5.6e-05, 0.288229, 1.97763, 
0, 0.000152, 0.27355, 1.97092, 
1.97883, 0.000166, 0.270665, 2.09442, 
0, 0.000169, 0.35559, 2.22795, 
0, 5.4e-05, 0.305201, 2.03431, 
0, 0.000132, 0.288438, 2.12112, 
0, 0.000169, 0.287139, 2.33019, 
1.70571, 5.9e-05, 0.276998, 2.01573, 
0, 0.00017, 0.301859, 2.57178, 
0, 0.000182, 0.28027, 3.15446, 
0, 0.000123, 0.330272, 2.23451, 
0, 0.000143, 0.281785, 2.33646, 
2.06984, 0.000156, 0.290269, 2.21264, 
0, 0.000168, 0.284827, 2.09896, 
0, 6.5e-05, 0.253759, 2.1365, 
0, 0.000428, 0.463413, 2.75161, 
0, 0.000165, 0.284778, 3.20409, 
1.80632, 0.000252, 0.368188, 3.27642, 
0, 0.000118, 0.300296, 3.91863, 
0, 0.000341, 0.339755, 3.1652, 
0, 0.000138, 0.325187, 2.51387, 
0, 0.000358, 0.435705, 5.05556, 
1.76991, 0.000177, 0.337178, 3.55947, 
0, 0.000243, 0.425639, 4.26618, 
0, 0.00028, 0.508604, 2.75172, 
0, 0.000291, 0.423833, 2.72203, 
0, 0.000163, 0.367234, 2.41156, 
2.59284, 0.00014, 0.310077, 2.17165, 
0, 0.000147, 0.281154, 2.44891, 
0, 0.000152, 0.307272, 2.20615, 
0, 0.000193, 0.452141, 2.7119, 
0, 8.2e-05, 0.325614, 2.21525, 
2.13926, 0.000453, 0.461317, 2.41406, 
0, 6.1e-05, 0.303521, 2.00849, 
0, 0.000148, 0.3965, 2.20158, 
0, 0.000263, 0.43276, 2.09178, 
0, 0.000161, 0.281013, 2.08211, 
1.29887, 4.7e-05, 0.283111, 1.76624, 
0, 0.00023, 0.184711, 1.82242, 
0, 0.000495, 0.332676, 2.15824, 
0, 0.000307, 0.302812, 2.21578, 
0, 0.00013, 0.201871, 1.66638, 
1.89575, 0.000133, 0.807005, 1.97339, 
0, 0.000217, 0.29295, 1.85065, 
0, 4.5e-05, 0.245288, 1.90712, 
0, 0.000163, 0.206289, 1.76606, 
0, 0.000288, 0.272295, 2.04521, 
1.38162, 0.000179, 0.224727, 2.04009, 
0, 0.000137, 0.217958, 1.74141, 
0, 0.000153, 0.211106, 1.84666, 
0, 0.000178, 0.198875, 1.68358, 
0, 0.000128, 0.204888, 1.58933, 
2.07216, 0.000177, 0.182066, 1.87956, 
0, 0.000145, 0.213337, 1.83272, 
0, 5.8e-05, 0.193544, 1.91603, 
0, 0.000247, 0.260344, 1.68654, 
0, 0.000295, 0.203563, 1.80061, 
1.65583, 0.000158, 0.183067, 1.72939, 
0, 0.000306, 0.203318, 1.79285, 
0, 0.000168, 0.227159, 1.89574, 
0, 0.000356, 0.297313, 2.26693, 
0, 0.000192, 0.230062, 1.98774, 
1.12855, 0.000159, 0.238084, 2.08185, 
0, 0.000276, 0.321518, 2.25113, 
0, 4.8e-05, 0.24816, 1.99008, 
0, 0.000176, 0.222688, 2.05617, 
0, 0.000236, 0.294637, 2.36669, 
1.91541, 7.4e-05, 0.21113, 1.86931, 
0, 0.00027, 0.233476, 2.05752, 
0, 0.000157, 0.254569, 2.0921, 
0, 0.000176, 0.223393, 1.76871, 
0, 0.000138, 0.226768, 1.89962, 
1.38194, 0.000637, 0.274345, 1.94066, 
0, 4.6e-05, 0.194687, 1.96762, 
0, 0.000142, 0.223811, 1.91168, 
0, 6.1e-05, 0.268596, 2.16237, 
0, 0.000163, 0.19832, 1.83216, 
0, 0.00025, 0.285914, 2.14048, 
1.57728, 6.3e-05, 0.222825, 1.91535, 
0, 0.000155, 0.22966, 2.17374, 
0, 0.000183, 0.210339, 1.96655, 
0, 0.000167, 0.224795, 2.07062, 
1.9192, 0.000217, 0.90642, 2.48165, 
0, 0.000154, 0.240164, 2.28782, 
0, 0.000188, 0.236081, 2.00946, 
0, 0.00015, 0.210496, 1.91691, 
0, 0.00021, 0.205301, 1.94104, 
0, 0.000203, 0.243089, 2.52295, 
1.54976, 0.000192, 0.244558, 2.05344, 
0, 4.3e-05, 0.23807, 2.22174, 
0, 0.000175, 0.317828, 2.07018, 
0, 7.5e-05, 0.381081, 2.63776, 
0, 0.000174, 0.312962, 2.20674, 
1.6642, 5.3e-05, 0.268859, 1.79783, 
0, 0.000141, 0.26937, 1.74538, 
0, 0.000169, 0.255195, 1.76979, 
0, 0.000157, 0.273296, 2.17682, 
1.16183, 3.5e-05, 0.318844, 1.96048, 
0, 0.000113, 0.280605, 1.94983, 
0, 0.000229, 0.337494, 2.2206, 
0, 0.000217, 0.346367, 2.17111, 
0, 0.000158, 0.298034, 2.06703, 
1.17987, 0.000185, 0.34402, 2.08442, 
0, 0.000143, 0.317077, 3.72344, 
0, 0.000159, 0.289542, 2.07471, 
0, 0.000162, 0.341916, 2.04719, 
0, 0.000172, 0.386035, 2.1077, 
1.64392, 5.9e-05, 0.307455, 2.09787, 
0, 0.000204, 0.285657, 1.96935, 
0, 0.000317, 0.456022, 2.9675, 
0, 0.000217, 0.337697, 4.08457, 
0, 0.000247, 0.365703, 2.18536, 
1.98165, 0.000201, 0.422242, 2.38377, 
0, 0.000162, 0.348419, 2.35137, 
0, 0.000206, 0.372704, 2.39695, 
0, 5.2e-05, 0.416595, 3.46982, 
0, 0.000161, 0.350716, 3.51157, 
2.09255, 0.000418, 0.473068, 2.59084, 
0, 4.5e-05, 0.315013, 2.18479, 
0, 0.00067, 0.949306, 2.65345, 
0, 0.000158, 0.298593, 2.2284, 
0, 6.1e-05, 0.32131, 2.85254, 
1.66895, 4.8e-05, 0.379622, 4.19656, 
0, 0.000175, 0.38834, 2.82158, 
0, 0.00014, 0.393794, 6.17165, 
0, 0.000177, 0.388514, 2.7482, 
0, 0.001013, 0.469503, 2.92224, 
1.5, 0.000154, 0.341904, 2.32691, 
0, 0.000312, 0.505673, 2.57295, 
0, 8.3e-05, 0.367922, 3.32989, 
0, 0.000267, 0.331325, 4.86783, 
0, 0.000133, 0.355213, 5.80227, 
1.16996, 0.000182, 0.404836, 2.38383, 
0, 0.000152, 0.359872, 2.15392, 
0, 0.000164, 0.36647, 2.25077, 
0, 6e-05, 0.362197, 2.96461, 
0, 0.000209, 0.416517, 3.53904, 
2.34082, 8.7e-05, 0.347589, 2.14651, 
0, 0.000127, 0.301862, 2.81799, 
0, 5.9e-05, 0.311452, 4.90568, 
0, 0.000231, 0.322633, 3.70958, 
0, 0.000149, 0.457489, 4.95271, 
1.39223, 0.000191, 0.103204, 1.14429, 
0, 0.000318, 0.585066, 3.67314, 
0, 6.1e-05, 0.30113, 3.67266, 
0, 6.1e-05, 0.265512, 2.44156, 
0, 5.1e-05, 0.264029, 2.72593, 
1.51159, 0.000225, 0.284813, 4.29425, 
0, 0.00016, 0.288457, 3.61592, 
0, 0.000142, 0.272953, 3.39817, 
0, 0.000167, 0.253118, 3.99092, 
0, 0.004909, 0.314729, 3.28594, 
1.19791, 6.2e-05, 0.262598, 3.57301, 
0, 0.000215, 0.271236, 2.50529, 
0, 0.000159, 0.291492, 1.95952, 
0, 0.000168, 0.378814, 3.46083, 
0, 0.000151, 0.338276, 3.70116, 
1.54938, 0.000225, 0.356811, 2.27872, 
0, 0.000131, 0.281135, 2.06258, 
0, 6.2e-05, 0.282652, 3.02759, 
0, 0.000204, 0.323755, 4.24012, 
0, 3.7e-05, 0.407939, 2.36443, 
1.53145, 0.000335, 0.816503, 3.79381, 
0, 0.000185, 0.290239, 2.06868, 
0, 6.1e-05, 0.375102, 2.26299, 
0, 9e-05, 0.374183, 2.2779, 
0, 0.000145, 0.390722, 4.40842, 
1.28452, 0.000257, 0.311027, 3.28698, 
0, 0.000209, 0.340999, 2.21007, 
0, 0.000123, 0.343813, 2.15316, 
0, 0.000267, 0.511817, 3.05629, 
0, 0.000127, 0.341595, 3.79532, 
1.30413, 0.000123, 0.308174, 4.26974, 
0, 0.000262, 0.392492, 2.53479, 
0, 0.000316, 0.415621, 3.19006, 
0, 0.000145, 0.535793, 2.56299, 
0, 0.000155, 0.293802, 1.8891, 
1.6719, 6.4e-05, 0.311787, 2.2351, 
0, 0.000155, 0.390771, 2.2427, 
0, 5e-05, 0.400286, 2.18999, 
0, 0.000453, 0.351108, 2.46628, 
0, 0.000162, 0.254356, 2.26038, 
1.06478, 0.000119, 0.232761, 1.8789, 
0, 0.000224, 0.225491, 1.87496, 
0, 0.000267, 0.275162, 2.23032, 
0, 0.000125, 0.236973, 2.13922, 
0, 0.000168, 0.272645, 1.91448, 
1.54304, 0.000141, 0.224563, 1.95952, 
0, 0.000185, 0.196969, 1.88113, 
0, 0.00021, 0.35445, 2.1314, 
0, 0.000179, 0.299553, 2.30882, 
0, 5e-05, 0.257649, 1.91778, 
1.86223, 4.8e-05, 0.210723, 1.91447, 
0, 0.000149, 0.261115, 2.20659, 
0, 0.000211, 0.341496, 2.09833, 
0, 0.000476, 0.521261, 2.66495, 
0, 4.6e-05, 0.311868, 2.09726, 
1.36243, 0.000162, 0.369455, 2.32227, 
0, 0.000184, 0.308927, 2.26492, 
0, 0.000127, 0.354923, 2.50967, 
0, 0.000139, 0.508144, 3.20241, 
0, 0.000186, 0.340014, 2.56265, 
1.75911, 0.00027, 0.358598, 2.39267, 
0, 0.000178, 0.338551, 2.36082, 
0, 4.9e-05, 0.362381, 2.30246, 
0, 0.000249, 0.599106, 2.87994, 
0, 0.000172, 0.332511, 4.31892, 
1.54745, 0.366343, 0.465058, 2.73746, 
0, 0.000221, 0.617756, 3.65415, 
0, 0.000271, 0.386531, 2.83723, 
0, 4.3e-05, 0.410235, 2.4188, 
0, 7.9e-05, 0.436437, 2.63687, 
1.62014, 0.000145, 0.412392, 2.72451, 
0, 0.000279, 0.421726, 3.02178, 
0, 0.000176, 0.36622, 4.04985, 
0, 0.000186, 0.507133, 4.81989, 
0, 4.9e-05, 0.322089, 3.31367, 
2.18797, 0.344063, 0.27867, 3.28261, 
0, 0.00019, 0.324426, 2.7908, 
0, 0.000126, 0.252235, 2.32742, 
0, 0.00015, 0.267842, 2.58838, 
0, 0.000198, 0.265458, 2.52163, 
2.43745, 0.000183, 0.248029, 2.35268, 
0, 0.000205, 0.255263, 2.42016, 
0, 0.000175, 0.262149, 2.63048, 
0, 5.1e-05, 0.313924, 2.65895, 
0, 0.000144, 0.264215, 2.59834, 
